mode,num_samples,hidden_dims,weight_decay,noise_std,layer_norm,best_test_mse,best_epoch,final_train_mse,final_test_mse,curve_path
zero,100000,[256],0.0,1.0,False,0.6257884442329407,38,0.5914404259681701,0.6266841299057007,./logs_mlp_identity/curves/mode=zero__n=100000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
zero,20000,[256],0.0,1.0,False,0.626263349533081,48,0.5479616131782532,0.6267764863967895,./logs_mlp_identity/curves/mode=zero__n=20000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
zero,100000,"[512, 256]",0.0,1.0,False,0.628530515575409,46,0.593782345867157,0.6290552918434144,"./logs_mlp_identity/curves/mode=zero__n=100000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
zero,100000,"[512, 256]",0.0001,1.0,False,0.6307248999595642,37,0.5978446793556214,0.6312490859985351,"./logs_mlp_identity/curves/mode=zero__n=100000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
zero,20000,"[512, 256]",0.0,1.0,False,0.631814646244049,43,0.5545693945884704,0.6321307449340821,"./logs_mlp_identity/curves/mode=zero__n=20000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
zero,20000,[256],0.0001,1.0,False,0.6334710130691529,48,0.5561091094017029,0.6343930015563964,./logs_mlp_identity/curves/mode=zero__n=20000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
zero,100000,[256],0.0001,1.0,False,0.634539333152771,32,0.6021131686210632,0.6356079313278198,./logs_mlp_identity/curves/mode=zero__n=100000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
zero,20000,"[512, 256]",0.0001,1.0,False,0.6393134398460388,36,0.5600659265518189,0.6398779311180115,"./logs_mlp_identity/curves/mode=zero__n=20000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
zero,2000,"[512, 256]",0.0001,1.0,False,0.6956501603126526,50,0.41684101581573485,0.6956501603126526,"./logs_mlp_identity/curves/mode=zero__n=2000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
zero,2000,"[512, 256]",0.0,1.0,False,0.7182681298255921,33,0.4222867965698242,0.724537513256073,"./logs_mlp_identity/curves/mode=zero__n=2000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
zero,2000,[256],0.0001,1.0,False,0.7240135145187377,50,0.41695914149284363,0.7240135145187377,./logs_mlp_identity/curves/mode=zero__n=2000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
zero,2000,[256],0.0,1.0,False,0.7369594764709473,50,0.41507992148399353,0.7369594764709473,./logs_mlp_identity/curves/mode=zero__n=2000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
zero,2000,[],0.0001,1.0,False,0.8249234008789063,50,0.308454133272171,0.8249234008789063,./logs_mlp_identity/curves/mode=zero__n=2000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
zero,2000,[],0.0,1.0,False,0.8699112606048583,50,0.3109940755367279,0.8699112606048583,./logs_mlp_identity/curves/mode=zero__n=2000__hd=[]__wd=0.0__noise=1.0__ln=False.png
